"# NOTE: This is the detailed row-level project tracker -- one row per BRD feature/task, spanning Phase 1 through Phase 4, cross-referenced against actual code/infra/docs (not a guess). docs/STATUS.md remains the separate, quick bullet-only snapshot of what's true right now for each layer -- the two documents serve different purposes and should not be merged. BRD Version confirmed against: v3.9 (docs/BRD_v39_Restaurant_Platform.docx)."
Feature/Task,BRD Section,BRD Version,Phase,Layer/Owner,Status,PR/Reference,Notes
"Deals engine frontend (owner/manager/admin management UI, search filter, tile badge, restaurant-page deal cards)",3.3; 3.2 Owner / Location Manager,v3.8,2,Frontend,Done,#188,"'Deals & specials' section in the location editor (/portal/locations/{id}#deals): create/edit/activate/deactivate/delete, day-of-week chips. Detail page shows full deal cards to registered_user/admin/owner/assigned manager, badge only otherwise."
deal_expiry Lambda packaged as a container image reusing the API image,5.3 Deal & Special Expiry,v3.8,2,Infra / DevOps,Done,#187,"Same image, image_config.command selects app.lambda_handlers.deal_expiry.handler; deploy-backend.yml updates both functions. Applied to dev 2026-09-23 (1 added, 3 changed, 1 destroyed: zip -> image replacement)."
Fix: two parallel 0009 Alembic heads (merge revision 0010) + deal_expiry engine dispose in finally + single-head guard test,N/A -- process (production bug),v3.8,1,Backend,Done,#190,"0009_deal and 0009_user_profile_last_seen_at both descended from 0008, so alembic upgrade head refused to run. tests/unit/test_alembic_single_head.py prevents recurrence. alembic_upgrade applied to dev 2026-09-23 after deploy."
"BRD v3.8: Current Functionality by role (13), Future / Not Yet Built (14), Known Gaps (15); deals aligned as free-tier",3.2; 3.3; 13; 14; 15; Version History,v3.8,1,Architect / Business,Done,#189,"docs/BRD_v38_Restaurant_Platform.docx; v35 removed under n-2 retention (v36, v37, v38 kept)."
Admin Owners report (GET /admin/owners + /admin/owners page),3.4 Platform Admin Capabilities,v3.8,1,Backend / Frontend,Done,#192,"Admin-only, paginated, search on email/name, sort newest/oldest/most_locations/email. Per owner: brand/location counts, by_status, verified locations, followers, pending claims and reopen requests; no billing fields. Lists every owner_account (including owners with no brands), so its total can exceed the Overview 'Total owners' tile. CCPA-deleted owners listed flagged, PII null. Nav entry + Overview tile link to it. Read-only: does NOT complete the 'Admin: owner directory + add owner' row."
Soft-delete listing: admin DELETE /restaurants/{id} sets deleted_at and auto-deactivates active locations; restore endpoint; 'Deleted listings' filter,3.2; 3.4 Platform Admin Capabilities,v3.8,1,Backend / Frontend,Done,#193,"Fixes the 'still has locations attached' 409 dead end. Migration 0011_brand_deleted_at (applied to dev 2026-09-23). Same-transaction location status -> owner_deactivated, audited per brand + per changed location. Deleted brand + locations 404 on public/owner/manager paths and drop out of search, follows, sitemap and counts; admin keeps access. POST /restaurants/{id}/restore (locations stay deactivated); admin GET /restaurants?status=deleted; warning confirm dialog. Known gaps: admin notification counts still include items on deleted brands; approving a reopen request for a deleted brand's location leaves it invisible until the brand is restored."
"Registered-user activity tracking (searches + restaurant-tile clicks), 12-month retention, CCPA export/delete coverage",3.1 User Types (Registered User); 7. Non-Functional Requirements (Compliance); 12. Legal & Compliance,v3.8,1,Backend / Frontend,Done,#194,"New user_activity_event table (migration 0012_user_activity_event, applied to dev 2026-09-23). Records registered users only (search page 1 with >=1 criterion; POST /activity/tile-click via same-origin relay + sendBeacon); best-effort, never fails the request. 365-day window applied on read, expired rows purged opportunistically (no new AWS resource). GET /auth/me/data-export gains activity_events; approved deletion hard-deletes a sub's events. Terms/Data & privacy copy updated. Known gap: no per-user event cap."
Admin per-user activity view (GET /admin/registered-users/{user_sub}/activity + /admin/registered-users/[userSub]),3.4 Platform Admin Capabilities,v3.8,1,Backend / Frontend,Done,#194,"Admin-only, paginated newest-first, event_type filter, linked from each registered-users report row. Known gap: an admin viewing a diner's activity is not audit-logged."
Display name locked once set (PATCH /auth/me 409 name_locked) + set_user_name management command,3.1 User Types,v3.8,1,Backend / Frontend,Done,#195,"Set-once for owner (owner_account), registered_user and manager (user_profile); identical name is a no-op, phone-only PATCH still works. Editable name card hidden once set, name shown read-only with a contact-an-admin note. Admin change path is the set_user_name Lambda management command (docs/SCRIPTS.md), owner_account changes audited; no admin UI. No schema change."
"CCPA data export and approved erasure cover user_profile (display name, last_seen_at)",7. Non-Functional Requirements (Compliance); 12. Legal & Compliance,v3.8,1,Backend / Frontend,Done,#198,"GET /auth/me/data-export gains user_profile (name/last_seen_at, null when no row); data_scope.user_profile is 0 or 1. Approved erasure hard-deletes the user_profile row, which also releases the #195 name lock for that identity. Dev delete_user_data script mirrors it. Frontend DataExport type + API_CONTRACTS updated. No migration. Note: lazy last-seen tracking may later recreate a row with only a fresh last_seen_at, never the erased name."
Deals shortcut: 'Deals' button on the manager 'Locations I manage' card and on owner location rows,3.2 Owner / Location Manager,v3.8,2,Frontend,Done,"#202, #233","Manager card: Deals button right after Edit and ahead of Menu; owner console: one-tap Deals shortcut in each location row footer. Links to /portal/locations/{id}/deals, which redirects to the editor's 'Deals & specials' section. Frontend-only. UPDATED 2026-09-24 (#233): the button now reflects state (Deals - N / Add a deal / Deals hidden); see the Deals button state row."
Signed-out visitors: deal badge links to sign-in (return-to preserved),3.3 Free vs Paid Tier; 3.5 Homepage and search,v3.8,2,Frontend,Done,"#201, #203","#201 added a 'Sign in to see deals' link beside the content-free 'Deal(s) available today' badge (dealSignInHref() reuses the FollowButton safeNextPath/withNext mechanism, /login?next=). #203 (user follow-up) made the badge itself the link: on search tiles no separate text link and no nested anchors; on the restaurant page a full-width banner ('Sign in to see today's deals', min 56px, focus ring). Signed-in roles unchanged."
'More deals & specials': upcoming_deals on GET /locations/{id} + restaurant-page section,3.3 Free vs Paid Tier; 3.2 Owner / Location Manager,v3.8,2,Backend / Frontend,Done,"#203, #205","upcoming_deals lists the location's OTHER active, unexpired deals (other weekdays and future-dated), sorted by next_occurrence then title then id; deals that will never occur again are dropped. Same content gate as deals_today: null for public / other owner / unassigned manager, array (possibly empty) for registered_user, admin, owning owner, assigned manager. Same single deal query (no N+1). Entries carry id, deal_type, title, description, applicable_days, start_at, end_at, next_occurrence. #205 (user feedback): diner cards show only the days line (e.g. Tuesdays, Mon-Fri, Every day); the Runs/Next rows were removed; owner management cards keep their date range. No migration."
"Deal dates required: start_at required, end_at required unless ongoing=true; 'Ongoing (no end date)' checkbox",3.3; 3.2 Owner / Location Manager,v3.8,2,Backend / Frontend,Done,#203,"DealCreate/DealUpdate: start_at required; end_at required unless the request sends ongoing:true; ongoing + end_at rejected; end after start (422). ongoing is request-only, not persisted (no migration). PATCH validates only the date fields actually sent so legacy NULL-date deals can still be toggled/retitled; start_at:null or a bare end_at:null rejected; ongoing:true clears end_at. Form: inline errors, focus to first invalid field; legacy deal start prefilled from created date, NULL end shows Ongoing ticked; no backfill."
"Favourites tiles: 'Deal(s) available today' panel with up to 2 deal titles (has_deal_today, deal_titles_today on GET /auth/me/follows)",3.1 User Types (Registered User); 3.5 Homepage and search,v3.8,2,Backend / Frontend,Done,#204,"Additive fields on /auth/me/follows items: has_deal_today and deal_titles_today (max 2). Follows are brand-level so any active location (brand not soft-deleted) with a deal passing deal_service.deal_matches_today (the /search predicate, location timezone) counts. New deal_service.todays_deals_by_brand: 2 batched queries per page. FollowedRestaurantsGrid tile split into two sibling links; panel links to /restaurant/{slug}#deals. Endpoint is registered_user-only so titles (no descriptions) are allowed. Former known limit (the restaurant page rendered only the brand's first location, so #deals had no target for a deal at another location) is closed by #222 (per-location pages). No migration."
"Menu engine backend: groups, items (price or 1-6 sizes), reorder, public read, audit (migration 0013_menu)",5.2 Key Data Entities; 3.3 (Full menu with prices -- free tier),v3.8,2,Backend,Done,#206,"See the 'Full menu CRUD' row for behaviour. pytest 866 passed / 4 skipped at merge (test_menu.py 49 tests). docs/DATA_MODEL.md, which was empty on main, now documents the menu entities only. Applied to dev 2026-09-24 (alembic_upgrade)."
Menu editor (location editor) + public menu page with JSON-LD hasMenu,3.3 (Full menu with prices -- free tier); 3.2 Owner / Location Manager,v3.8,2,Frontend,Done,#206,"LocationMenuManager: One price / Sizes switch with add/remove/reorder rows, group dropdown, up/down reorder, two-step deletes, inline validation. Public SSR RestaurantMenu (checked at 375px) with JSON-LD hasMenu (names/descriptions only); page JSON-LD now escapes < so owner text cannot close the script tag."
set_platform_flag management command (flip/read menu_item_photos_enabled in platform_config),5.3 Technical Architecture Decisions,v3.8,2,Backend,Done,#206,"Lambda management command, no API endpoint or admin UI; only keys in KNOWN_BOOL_FLAGS accepted (today menu_item_photos_enabled); idempotent upsert, omit value to read. platform_config is not an audited entity: change recorded in the CloudWatch log line and the response (old -> new). Documented in docs/SCRIPTS.md."
Docs: DECISIONS.md user_profile CCPA export/erasure decision recorded,12. Legal & Compliance,v3.8,1,Architect / Docs,Done,#200,Records the decision behind #198 (user_profile covered by export and approved erasure).
"BRD v3.9: menu engine + catch-up since v3.8 (sections 3.2, 3.3, 5.2, 13, 14, 15; paid-only menu wording corrected)",3.2; 3.3; 5.2; 13; 14; 15; Version History,v3.9,1,Architect / Business,Done,#209,"docs/BRD_v39_Restaurant_Platform.docx; v3.6 removed under n-2 retention (v3.7, v3.8, v3.9 kept). Menu documented as free-tier and public; section 13 rewritten to 2026-09-24; six new known gaps in section 15. Fixed 'up to 2 locations' in the 3.2 Owner (Free) row to unlimited to match 3.3 and DECISIONS.md. BRD-only PR, Architect review skipped per root CLAUDE.md."
"Uniform, then compact restaurant tile layout (search, homepage 'Popular near you')",3.5 Homepage and search,v3.9,1,Frontend,Done,"#210, #214","#210 made every tile the same height with fixed reserved rows, which left blank gaps between lines; #214 replaced that with the original tight rhythm plus one shared min-height (301px), single-line ellipsised name/cuisines/address (full text in title), cuisines as one muted line, phone row removed from the tile, Unclaimed / 'N locations' as a cover chip. Frontend only, no API change."
"Tile deal badge: top-left, non-link, distinct green; Featured ribbon moves to bottom-left",3.3 Free vs Paid Tier; 3.5 Homepage and search,v3.9,2,Frontend,Done,#220,"'Deal(s) available today' on tiles is a solid brand-green (about 5.3:1 with white text) badge on the cover top-left and no longer a link (whole tile is the link; signed-out visitors still get the sign-in banner on the restaurant page). Featured ribbon bottom-left, heart top-right. Frontend only; not viewed in a browser at merge."
Favourites tiles reuse the search tile (address with map link; shown at the deal's location),3.1 User Types (Registered User); 3.5 Homepage and search,v3.9,1,Backend / Frontend,Done,"#219, #230","GET /auth/me/follows items are now search-result-shaped (cuisine_tags, nearest_location with address/phone/today's hours/is_open_now/has_deal_today, location_count_nearby, cover photo) - additive. The tile's location is the first active location with a deal today, else the first active location; batched queries (test asserts identical statement count for 2 vs 8 brands). FollowedRestaurantsGrid now renders RestaurantCard; 'Following since' dropped from the tile. No migration. UPDATED 2026-09-24 (#230): the follow tile's cuisine tags are the chosen location's own tags."
Role-aware top bar links + mobile menu (signed out / diner / owner / manager / admin),3.1 User Types; 3.5 Homepage and search,v3.9,1,Frontend,Done,"#212, #213","Middle of the top bar holds the important links for the current role (every href an existing route), active link marked aria-current, collapses to a 44px menu button below lg with Escape/outside-click close. #213 removed About from the signed-out set (still in the footer). Frontend only."
Footer alignment (one max-w-6xl container for all footer content),7. Non-Functional Requirements (UX),v3.9,1,Frontend,Done,#218,Copyright strip moved inside the same container as the header/page content; desktop link row vertically centred on the logo block; 44px link targets on mobile. Frontend only.
/search empty by default (no request until a search criterion is present),3.5 Homepage and search; 7. Non-Functional Requirements (SEO row),v3.9,1,Frontend,Done,#215,"hasSearchCriteria(): non-blank location or q, any cuisine/dietary/type tag, or deals_today=true. No criteria -> no GET /search, SearchEmptyState with quick-start links. Empty /search is canonical /search + noindex,follow; criteria pages get a canonical to their normalised URL. Homepage still owns 'Popular near you'."
Location editor: sticky section jump links + listing status chip menu (Listing status panel removed),3.2 Owner / Location Manager,v3.9,1,Frontend,Done,"#216, #221","#216: sticky Deals / Hours / Menu / Photos / About / Info / Managers(owner only) link row built from one shared list; sections resequenced; the Listing status panel is replaced by a status chip beside the restaurant name (menu button for owner/admin with every previous action - visibility, mark permanently closed, request to reopen, remove - non-interactive label for a manager). #221: Back link folded into the sticky bar. Frontend only."
Console UI polish: uniform Edit/Deals/Menu buttons; Activity as its own menu view (/account/activity),3.2 Owner / Location Manager; 3.1 User Types,v3.9,1,Frontend,Done,#221,primaryLinkClass/secondaryLinkClass share one 44px box with icons; owner BrandCard Deals shortcut uses the shared style. The always-visible 'Recent activity' section is removed from /account; new /account/activity (owner and manager; admin and diner redirect to /account) is the only place the role-scoped feed is fetched; sidebar highlights the single longest-matching item. Frontend only.
"Deal vs Special label derived from the end date (no end date = Special, end date = Deal)",3.3; 5.3 Deal & Special Expiry,v3.9,2,Backend / Frontend,Done,#217,"User decision 2026-09-24. effective_deal_type(end_at) is the single source; read-time derivation so legacy rows read correctly, stored column re-synced on every create/update; client-supplied deal_type accepted and ignored (never a 4xx); audit records the effective type. Form picker replaced with a live 'Will show as' hint. No migration, no backfill."
Report a problem: 'Deal is wrong or outdated' category + signed-in reporter email from the token,3.1 User Types; 8. Claim & Onboarding Flow,v3.9,1,Backend / Frontend,Done,#211,"deal_incorrect added to the ReportCategory allowlist end to end (radio, zod, admin bell label 'Wrong deal', API_CONTRACTS); listing_report.category is a String(32) so no migration. For an authenticated caller the backend ignores the body's reporter_email and stores the token's email claim (NULL if absent); the form shows a read-only 'Reporting as ...' note. reporter_user_id attribution and CCPA matching unchanged."
"Per-location public pages: restaurant_location.slug (migration 0014_location_slug), by-slug endpoints, sitemap index",3.2 Ownership Model Rules; 3.5 Homepage and search; 7. Non-Functional Requirements (SEO row),v3.9,1,Backend,Done,#222,"slug varchar(100) NOT NULL unique per brand (backfilled deterministically): city -> city + street minus street type -> -2/-3, reserved words excluded, fixed for life (address edits never change it); one helper for POST /locations, CSV bulk import and the dev seed. Additive API: slug/brand_slug on LocationOut, LocationSummary, search/follow nearest_location, managed-locations, reopen/report rows; new GET /restaurants/by-slug/{brand}, GET /restaurants/by-slug/{brand}/locations/{loc}, GET /sitemap/locations. pytest 957 passed / 4 skipped at merge. Applied to dev via alembic_upgrade 2026-09-24."
"Per-location public pages frontend: /restaurant/[brand]/[location], brand landing vs single-location, View menu + jump links, per-location JSON-LD",3.5 Homepage and search; 7. Non-Functional Requirements (SEO row),v3.9,1,Frontend,Done,#222,"Route dir renamed [slug] -> [brandSlug]; shared LocationProfile and BrandLanding; /restaurant/{brand} shows the location profile at the short URL for one active location (canonical), a landing page with a tile per location for 2+, brand-only page for 0; old links keep working. lib/restaurant/urls.ts is the single URL/canonical helper; sitemap lists canonical URLs only (sitemap index). Deals/Menu/Hours jump-link row and a View menu button next to Get directions. Follow stays brand-level. Closes the 'restaurant page shows only the first location' gap (BRD v3.9 known gap)."
"Hide/show for menu items, menu groups, the whole menu, single deals and all deals (migration 0015_hide_menu_and_deals)",3.3; 3.2 Owner / Location Manager,v3.9,2,Backend / Frontend,Done,#223,"Owner / assigned manager / admin; nothing deleted. menu_item.is_hidden, menu_section.is_hidden, restaurant_location.menu_hidden and deals_hidden (NOT NULL DEFAULT false, additive). PATCH item/section is_hidden; PUT /locations/{id}/menu/visibility and /deals/visibility; GET /locations/{id}/menu/manage (editor, includes hidden); public GET /menu never returns hidden content even to the owner. Single choke points: menu_service.build_menu(include_hidden=False) and deal_service.get_active_deals_map. Audit rows on every toggle. pytest 911 passed at merge. Applied to dev via alembic_upgrade 2026-09-24 (renumbered to 0015 on top of 0014_location_slug)."
New manual listings start in setup (coming_soon); going live is a gated step (422 listing_incomplete),3.2 Owner / Location Manager; 8. Claim & Onboarding Flow,v3.9,1,Backend / Frontend,Done,"#224, #227","POST /locations (Add restaurant / Add location) creates status coming_soon; bulk import, seeds, claim approval and dev_set_location_status still create active. coming_soon -> active refused with 422 code listing_incomplete + missing[] until all 7 days of hours are set, a valid US phone, and name/address exist (first go-live only; owner and admin). LocationOut.setup_missing drives an editor banner with checklist and an Activate listing button; chip menu's Active choice disabled while incomplete. Reused coming_soon rather than adding a draft status. No migration (head stays 0015_hide_menu_and_deals). UPDATED 2026-09-24 (#227): FIXED the owner console not showing a coming_soon listing -- loadOwnerRestaurants called GET /restaurants/{id}/locations without the owner token (active-only for anonymous) and skipped the call when location_count (the ACTIVE count) was 0, so a brand whose only listing was in setup showed No locations yet. Now the token is passed and locations are always loaded; setup listings show inline; sticky Go-live bar with Activate listing; Coming soon panel removed (see the setup-visibility row)."
"One US phone rule everywhere (10 digits, area code and exchange start 2-9, stored E.164 +1XXXXXXXXXX)",3.2 Owner / Location Manager; 7. Non-Functional Requirements,v3.9,1,Backend / Frontend,Done,#224,"backend/app/core/phone.py mirrored by frontend/src/lib/phone.ts with the same test case table. Applied to location create/update, PATCH /auth/me (the server previously had no rule and zod allowed 8-15 digits, so an 11-digit number got through), bulk import (per-row error, batch continues), Add restaurant and Add location. No backfill of existing values."
Owner profile collapsed to a summary with 'Edit phone'; 'Add location' for an existing brand (owner and admin),3.2 Owner / Location Manager; 3.4 Platform Admin Capabilities,v3.9,1,Frontend / Backend,Done,"#224, #227, #230","/portal/locations/new?brand=<id> reuses the geocode step (lib/portal/createLocationStep.ts), shared address/phone fields and #222 slug generation; 'Add location' on each owner brand card and admin listings row; a manager cannot. POST /locations opened to admin (supersedes the 2026-09-17 owner-only note for this route only; API_CONTRACTS updated, parity test rewritten). No location cap exists (only manager caps). Frontend browser check at desktop/375px was not done at merge (human call per CLAUDE.md). UPDATED 2026-09-24: per-location View public page / Preview page links replace the brand-level button for a single location (#227); Add location / View all locations moved to header buttons next to the brand name (#230)."
"QR-code menu (per-location QR linking to the public menu page) -- paid feature, FUTURE",3.3 Free vs Paid Tier; 14. Future / Not Yet Built,v3.9,4,Frontend / Backend,Not Started,N/A,"BACKLOG (future, user-requested 2026-09-24), not scheduled. Listed as a paid feature. NEEDS USER CONFIRMATION BEFORE BUILD: the proposed visibility rule conflicts with the standing decision that the full menu with prices is a free, public feature (BRD 3.3, DECISIONS.md 'Full menu with prices moved to free tier'; menu is never is_paid-gated). Decide whether only the QR generation/download is paid (menu stays free and public) or the menu itself would be gated, before any design work. Depends on the per-location pages (#222) for a stable per-location menu URL. Payments stay deferred."
City landing pages for SEO (/indian-restaurants/{city}) -- FUTURE,7. Non-Functional Requirements (SEO row); 6. Phase 3 Week 8,v3.9,3,Frontend / Backend,Not Started,N/A,"BACKLOG (future, user-requested 2026-09-24), not scheduled. Static-URL SSR landing page per city listing that city's restaurants, with title/canonical/JSON-LD ItemList, plus sitemap entries. Separate from, and smaller than, the 'Multi-city admin tool + city landing pages (/houston, /chicago)' Phase 3 row: that one also needs multi-city admin management. The per-location slug rule (#222) already keys off city."
Owner console: setup listings visible inline; sticky Go-live bar; per-location View / Preview page links; status/tier tags on the first line,3.2 Owner / Location Manager; 8. Claim & Onboarding Flow,v3.9,1,Frontend,Done,#227,"Root cause of the owner not seeing a new listing: loader called GET /restaurants/{id}/locations without the access token (non-active locations are returned only to owner/admin) and skipped the call when location_count === 0 (location_count is the ACTIVE count). Fix passes the token (an authenticated read is never Next-cached) and always loads locations; backend unchanged, new tests pin owner/admin visibility of setup listings, anonymous/other owners excluded, location_count stays active-only. Sticky Go-live bar under the section nav while in setup: N things left jump links or All set, large Activate listing button (disabled until complete, finite motion-safe glow), inline Hours saved - Activate hint, then Your listing is live + View public page (?live=1); manager sees the checklist but no button. Coming soon listings render inline with Active/Hidden/Closed ones (ComingSoonLocationsPanel removed), status + tier tags + hours chip on the row's first line, Finish setup - N left button; View public page (active) / Preview page (not live) per location via locationHref, brand-level View all locations only for 2+ active (same in admin listings rows). No migration. Browser-checked at desktop and 375px against a local mock API."
ZIP code + phone in owner and manager location rows,3.2 Owner / Location Manager,v3.9,1,Frontend,Done,#228,"User request. Owner brand-card rows and manager Locations I manage rows show ZIP with the address and the location's phone formatted (XXX) XXX-XXXX (hidden when none); plain text, no tel: link in the owner row because the row is already a link. Frontend-only."
Generic owner-facing error when a manager is already under another owner,3.2 Ownership Model Rules; 7. Non-Functional Requirements (no cross-tenant disclosure),v3.9,1,Backend,Done,#229,"User request: the old message disclosed another tenant's relationship to an owner. API now returns a generic message (We couldn't assign this person as a manager. Please check the email address, or contact support if you think this is a mistake.); the precise reason stays in the server WARNING log (owner_id + manager sub). 409 status and code manager_different_owner unchanged. Regression test fails against the old message. No schema/API-shape change."
Per-location cuisine / dietary / type tags (migration 0016_location_cuisine; PUT /locations/{id}/cuisine-tags; per-location search filters),3.3 (cuisine/dietary tags); 3.2 Owner / Location Manager,v3.9,1,Backend / Frontend,Done,#230,"Migration 0016_location_cuisine creates location_cuisine (PK location_id + cuisine_tag_id, both FKs ON DELETE CASCADE, index on cuisine_tag_id) and idempotently backfills every existing location (all statuses, soft-deleted brands included) from its brand's tags; downgrade folds back into restaurant_cuisine. restaurant_cuisine kept and deprecated (expand, not contract). PUT /locations/{id}/cuisine-tags: owner / assigned manager / admin, full replace, unknown/inactive ids ignored, audit row with before/after slugs. POST /locations takes optional cuisine_tag_ids (omitted = copy of the brand's first location's tags). Location reads, tiles, landing cards, follow tiles and JSON-LD use the location's own tags; brand cuisine_tags = union (public: active locations only). POST/PATCH /restaurants no longer take cuisine_tag_ids. CSV import tags the row's location. Editor Cuisine & dietary tags panel, shared CuisineTagPicker (also Add restaurant / Add location, pre-filled), per-location tags on owner rows. pytest 1076 passed / 5 skipped; the Postgres/PostGIS-guarded search test has NOT been executed. Migration applied to dev: pending confirmation."
Owner brand card: Add location / View all locations buttons next to the restaurant name,3.2 Owner / Location Manager,v3.9,1,Frontend,Done,#230,"44px secondary buttons right-aligned next to the name on desktop, wrapping under it on a phone; brand tag row removed (each location row shows its own tags, max 4 + +N). Checked in a static SSR harness at 375/390/430/1000px, not on the live pages."
"Mobile audit fixes (375px sticky stack, 44px tap targets, scrollspy, exclusive menus, contrast token)","7. Non-Functional Requirements (UX, mobile-first)",v3.9,1,Frontend,Done,#231,"Frontend-only. Editor sticky stack on phones 194px -> 101px (site header scrolls away in the editor below md; section bar 48px; Go-live bar one row; --editor-topbar-h published as 0 when not sticky); 44px controls across the editor and console (hours inputs, manager email/Remove, specialty, chips, photo buttons, setup Add links, logo, Forgot password, tile address link, carousel dot hit area, admin bell View all); owner preview marker wraps; long manager e-mail breaks; console menu scrolls the selected pill into view with edge fades; pickActiveSectionId fixes the section highlight and active-pill centering; hamburger / account / bell menus mutually exclusive; brand-ink-subtle #8A7A6E -> #7A6A5D (5.19:1 on white, 4.79:1 on page bg) with regression test. Skipped: audit item 8 (upcoming deals show days only, user decision), nits 11, 12, 14-19, and a few text links (See popular near you, Back to brand, Find more, hero input label). Not verified on a real iOS device."
deploy-backend workflow concurrency group (queue deploys),N/A -- infra/process (CI/CD),v3.9,1,DevOps,Done,#232,"concurrency group deploy-backend with cancel-in-progress false: deploys queue one at a time, a mid-deploy run is never killed, GitHub keeps only the newest pending run and each run deploys its own commit so the latest wins. Fixes the ResourceConflictException race (Deploy Backend #72, PR #229 vs #230) that could also leave the API and deal-expiry Lambdas on different images."
Deals button state on owner and manager location rows (Deals - N / Add a deal / Deals hidden),3.2 Owner / Location Manager; 3.3 Free vs Paid Tier,v3.9,2,Backend / Frontend,Done,#233,"deal_service.live_deal_counts: one grouped query; live = is_active AND (end_at IS NULL OR end_at > now); future-start and weekday-restricted deals counted; independent of deals_hidden. GET /restaurants/{id}/locations adds active_deals_count + deals_hidden, populated ONLY for the owning owner or admin (null for anonymous, other owner, manager, registered user; public still only learns has_deal_today). GET /auth/me/managed-locations adds both (never null; self-scoped). Button states: tinted accent Deals - N, quiet outline Add a deal, grey dashed Deals hidden, plain Deals when the count is unknown; every state differs in label text; 44px box; links to the editor #deals. API_CONTRACTS updated. No migration. Not viewed in a browser at 375px/desktop."
Admin-visible alert / UI entry for blocked cross-owner manager assignments,3.4 Platform Admin Capabilities; 3.2 Ownership Model Rules,v3.9,2,Backend / Frontend,Not Started,N/A,"BACKLOG (future, follow-up to #229; user said the explicit reason belongs in logs, admin alerts and admin UI). Today the precise reason (manager already active under another owner) is only in the server WARNING log. Also open: the manager_not_found message (No registered user exists with this email) reveals whether an email has an account -- left as is pending a decision."
Drop the deprecated restaurant_cuisine table,5.2 Key Data Entities,v3.9,2,Architect,Not Started,N/A,"BACKLOG (future, follow-up to #230's expand-not-contract migration). restaurant_cuisine is kept but never read or written by the app; drop it in a later Alembic migration once 0016 is confirmed applied and stable."
